frame.number,frame.time,frame.len,ip.len,tcp.len,udp.length,ip.src,ip.dst,_ws.col.Protocol
"106","Nov 22, 2024 12:44:46.911688000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"107","Nov 22, 2024 12:44:46.911697000 CST","13098","13084","13032",,"10.10.1.1","10.10.1.2","TCP"
"108","Nov 22, 2024 12:44:46.911716000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"109","Nov 22, 2024 12:44:46.911716000 CST","50746","50732","50680",,"10.10.1.1","10.10.1.2","TCP"
"110","Nov 22, 2024 12:44:46.911729000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"111","Nov 22, 2024 12:44:46.911748000 CST","14546","14532","14480",,"10.10.1.1","10.10.1.2","TCP"
"112","Nov 22, 2024 12:44:46.911764000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"113","Nov 22, 2024 12:44:46.911768000 CST","46402","46388","46336",,"10.10.1.1","10.10.1.2","TCP"
"114","Nov 22, 2024 12:44:46.911776000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"115","Nov 22, 2024 12:44:46.911797000 CST","18890","18876","18824",,"10.10.1.1","10.10.1.2","TCP"
"116","Nov 22, 2024 12:44:46.911813000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"117","Nov 22, 2024 12:44:46.911814000 CST","36266","36252","36200",,"10.10.1.1","10.10.1.2","TCP"
"118","Nov 22, 2024 12:44:46.911829000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"119","Nov 22, 2024 12:44:46.911846000 CST","29026","29012","28960",,"10.10.1.1","10.10.1.2","TCP"
"120","Nov 22, 2024 12:44:46.911850000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"121","Nov 22, 2024 12:44:46.911870000 CST","37714","37700","37648",,"10.10.1.1","10.10.1.2","TCP"
"122","Nov 22, 2024 12:44:46.911881000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"123","Nov 22, 2024 12:44:46.911898000 CST","27578","27564","27512",,"10.10.1.1","10.10.1.2","TCP"
"124","Nov 22, 2024 12:44:46.911905000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"125","Nov 22, 2024 12:44:46.911913000 CST","21786","21772","21720",,"10.10.1.1","10.10.1.2","TCP"
"126","Nov 22, 2024 12:44:46.911924000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"127","Nov 22, 2024 12:44:46.911937000 CST","29026","29012","28960",,"10.10.1.1","10.10.1.2","TCP"
"128","Nov 22, 2024 12:44:46.911937000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"129","Nov 22, 2024 12:44:46.911958000 CST","14546","14532","14480",,"10.10.1.1","10.10.1.2","TCP"
"130","Nov 22, 2024 12:44:46.911968000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
